# Time, Cd, Cl
0.000000000000000000e+00 3.709262799755305196e+01 1.737832100445757533e-12
1.000000000000000056e-01 2.041069376040634431e+00 7.420390257112385868e-13
2.000000000000000111e-01 2.926576389173571879e+00 -6.319614970218268013e-13
3.000000000000000444e-01 1.129105557978012486e+00 6.090685681497953752e-13
4.000000000000000222e-01 2.238981877936194298e+00 -5.723336843517501382e-13
5.000000000000000000e-01 9.016341011621202828e-01 5.573480045539813688e-13
5.999999999999999778e-01 1.894001583563987623e+00 -5.369672263257074807e-13
6.999999999999999556e-01 7.881198414585394163e-01 5.222396950652075098e-13
7.999999999999999334e-01 1.677707540063191560e+00 -5.080510122844328347e-13
8.999999999999999112e-01 7.172960040547221583e-01 4.987962083299879446e-13
9.999999999999998890e-01 1.525857240689783900e+00 -4.883079075639062960e-13
1.099999999999999867e+00 6.677956966500190328e-01 4.771755907073682579e-13
1.199999999999999956e+00 1.411656458133343506e+00 -4.711002096237371095e-13
1.300000000000000044e+00 6.307214733926214123e-01 4.596754834412797308e-13
1.400000000000000133e+00 1.321695005094153164e+00 -4.572789629592177718e-13
1.500000000000000222e+00 6.016273430999642402e-01 4.466352418117103262e-13
1.600000000000000311e+00 1.248422395149811237e+00 -4.415971169464960600e-13
1.700000000000000400e+00 5.780139855972455942e-01 4.338265857661838254e-13
1.800000000000000488e+00 1.187220062542349241e+00 -4.328615916225631022e-13
1.900000000000000577e+00 5.583549926219451010e-01 4.245638129257711668e-13
2.000000000000000444e+00 1.135083125339304999e+00 -4.223972517244933833e-13
2.100000000000000533e+00 5.416588222263613028e-01 4.140649411885077846e-13
2.200000000000000622e+00 1.089960902166084322e+00 -4.126540689014523977e-13
2.300000000000000711e+00 5.272498495657990114e-01 4.009688631470553766e-13
2.400000000000000799e+00 1.050399496072264238e+00 -4.038943658690730132e-13
2.500000000000000888e+00 5.146498096662972532e-01 3.979236645051953403e-13
2.600000000000000977e+00 1.015335480687247438e+00 -3.959881467868742178e-13
2.700000000000001066e+00 5.035094224732611368e-01 3.861837065410878012e-13
2.800000000000001155e+00 9.839705705863925900e-01 -3.889911396465217663e-13
2.900000000000001243e+00 4.935668938471038936e-01 3.808732843002538004e-13
3.000000000000001332e+00 9.556922032849844983e-01 -3.786980494815961329e-13
3.100000000000001421e+00 4.846216420166425953e-01 3.710573515114390375e-13
3.200000000000001510e+00 9.300213934008122463e-01 -3.750441797401027344e-13
3.300000000000001599e+00 4.765170616043088447e-01 3.662916324420617542e-13
3.400000000000001688e+00 9.065774388457874533e-01 -3.707414149983767615e-13
3.500000000000001776e+00 4.691288680974197156e-01 3.632982586640465250e-13
3.600000000000001865e+00 8.850533983291635209e-01 -3.643608852132995679e-13
3.700000000000001954e+00 4.623570065864801570e-01 3.570344974529460202e-13
3.800000000000002043e+00 8.651986583519295504e-01 -3.597945509234423689e-13
3.900000000000002132e+00 4.561199047433016629e-01 3.538854322429618726e-13
4.000000000000001776e+00 8.468062876918522885e-01 -3.535551842612227880e-13
4.100000000000001421e+00 4.503503077052256054e-01 3.468572000800418387e-13
4.200000000000001066e+00 8.297036989705343091e-01 -3.517979093800582824e-13
4.300000000000000711e+00 4.449922049125553669e-01 3.439891600731659338e-13
4.400000000000000355e+00 8.137456412159096431e-01 -3.469456709773166558e-13
4.500000000000000000e+00 4.399985260540501542e-01 3.384659089458730286e-13
4.599999999999999645e+00 7.988088653797644767e-01 -3.419754713782086064e-13
4.699999999999999289e+00 4.353293886043064775e-01 3.328587405704297453e-13
4.799999999999998934e+00 7.847880102406336045e-01 -3.382915692365373594e-13
4.899999999999998579e+00 4.309507474467497712e-01 3.312221373910628763e-13
4.999999999999998224e+00 7.715923917773511720e-01 -3.336726511413146135e-13
