# Time Cd Cl Pressure_Diff
1.00000000e-04 2.00079566e-01 -5.24165410e-04 1.27722220e-01
2.00000000e-04 2.06372086e-01 -2.34977093e-04 1.29849131e-01
3.00000000e-04 2.06369013e-01 -3.65251377e-04 1.30194708e-01
4.00000000e-04 2.07096738e-01 -3.05198814e-04 1.30259857e-01
5.00000000e-04 2.07787063e-01 -3.40598920e-04 1.30594606e-01
6.00000000e-04 2.08523872e-01 -3.17046454e-04 1.30812870e-01
7.00000000e-04 2.09158052e-01 -3.32927677e-04 1.31075376e-01
8.00000000e-04 2.09792852e-01 -3.21146636e-04 1.31286141e-01
9.00000000e-04 2.10366497e-01 -3.29766059e-04 1.31510167e-01
1.00000000e-03 2.10930937e-01 -3.23251038e-04 1.31706212e-01
